Reviews1,Theme1
"Work culture, which make us comfortable while working",Positive Culture
"Team works , social works done by ORG X ",Social work
Working with bikes.,Innovative
Two things made myself happy in this organization  environment of my work place and sports conducted by the organization. ,"Positive Culture, Employee Engagement Sports"
*developing self-worth with significant work activities.  *ex: providing multiple task  with trusting into employee.  *ex: average salary growth &standing with social  response with good discipline.,Trusting & Sense of Belongingness
Good culture,Positive Culture
There is no flexible timing for working hours in my organization like in it companies. because of this we are able to speak to the concerned person as and when required. it helps deliver project on time.,Dissatisfied
Nothing. there is nothing that makes me happy about the organization except that it gives me a salary which is also not good enough.,Dissatisfied
Pride in what we achieve ( which is shared during monthly meetings ) ,Collaboration and Teamwork
"Organization is neat and clean which gives me a comfort space for working.  learning is continuous, so it helps me in keeping intellectual well being. ",Hygiene
"When i do proper research and finish a project, that gives me happiness. also, when i learn something new ",Commitment and Learning
Working environment. company provide many facilities for working as well as family members.,Positive Organizational Culture & Belongingness
Open to collect feedback at any level or post,Openess to Feedback
Team work. ,Collaboration and Teamwork
"Colleagues, who support us in all aspects ",Supportive Colleagues
Learning ability,Culture of Learning & Development
Excess time ,Dissatisfied
"On time remuneration, financial status of organization, brand name, synergy among young people, transparency in actions.","Rewards & Recognition, Flexible Working Hours, trust, vision"
Maintaining proper discipline and decorum,Disciplined
"Festive celebrations, sports activies ",Employee Engagement - Celebration of Festivals
"Our organization have full trust on the ability of employees. examples- in past mr sadekar, present mr iyer are physically challenged people.our organization have full trust on them.",Trust
"The motherly treatment which each employee of company gets here, irrespective of level, age etc. culture of equality. freedom to do things. trust and respect we get here. ","Rewards & Recognition, Flexible Working Hours, trust"
Well structure and 5s implementation across organization.,Well Structured
"Food, we get healthy food each day.",Hygiene
Completing the task assigned,Commited
Company is providing with incentives to all people which feels a biggest source of happiness,Satisfaction
Snack canteen that functions for 0.5 hours per day,Dissatisfied
"Trust, value, service","Collaboration and Teamwork, Trust"
Organization give each person individually responsible activity .so person gain the knowledge and also learning more  ,Challenging work
Human compassion,Compassion
Learning culture and opportunities given to us.,Learning & Development
Working with the joyful life in the company ,Work
Helping nature of our seniors. ,Supportive Colleagues
Extra circular activities  example : sports - cricket & volleyball matches,Sports and Games
Team work,Teamwork
Employee freindly.  my boss gives me full freedom in my work. he trust our colleagues a lot which makes me to be more loyal and dedicated to the job what i am doing.  eg- where ever we are struck in terms of not achieving the target he shows a way and guides us ow to be done.,Freedom and Trust
1.The warmth the top management exhibit towards people they meet create an air of confidence &oneness,Leadership style
* Resistance from unionized workers,N.A.
"Good Working culture and compassion towards employees is one of the strong point of SCIL 
",Positive organisational culture
WORK FREEDOM AND TRUST,Freedom to work
Good work life balance.  Attractive fixed salary and company values.,Work life balanceWork 
Trust,Transparency
good observation in company employee expired than company help his family with compensation amount and job opportunity.,Employee Welfare
NA,N.A.
Not know,N.A.
not applicable,N.A.
loving and sharing,Positive organisational culture
"Neat, tidy, dust free and safe work environmnet, visually pleasing appearance of plant and offices",work environment
Work - Life balance,Work life balanceWork 
"Supportive HOD, QA and Plant people and Recreation
HOD- acknowledges the new ideas and inspires
QA- renders help as and when required
Plant-Kind enough to try our thinkings without their bias, although they share their thoughts.
Recreation-Helps a lot to keep me a fresh.",Team bonding
"Respect given by seniors.
can implement the actions with communication to seniors and give full support for implementation.",Mutual respect
DUST FREE WORK PLACE,work environment
Colleagues' support.,Team work
"Good words from supervisors and top management
HR department is very helpful in our personal difficulties",HR policies
"Picnics, Diwali gifts, Birthday gifts are some enablers of happiness.",Employee Engagement
music,Music
I don't no,N.A.
"Social commitment of the leadership
Nature/ Go green activities
Positive leadership behaviors
Employer credibility and trust in the mind of employees
At par salary and hike ",Leadership style
"appreciation from superiors , culture of organization",Rewards & Recognition
"Flexibility & transparency in work culture, motivation and caring nature of top management. ",Transparency
Hardly Nothing,N.A.
Giving freedom to do  respective work i.e. whatever responsibilities assign for person,Freedom to work
For achieving targets/goals working together from top to bottom.,Performance management
Employees are taken care by the management,Employee Welfare
Employee appreciation and recognition ,Rewards & Recognition
"no organizational politics, unnecessary bureaucracy ",Transparency
Family picnic and family day celebrations ,Employee Welfare
Freedom of working. No micro management,Freedom to work
Encouraging creativity & innovation at work. C.7 extrusion pellet size reduction.,Innovation
"Good team, resources/infrastructures. ",Team work
Friendliness,Transparency
Benefit given with some more facilities like a housing loan facility with less interest from the market.,Employee Welfare
"Good HR policies and Support, Good Superiors, Good work enviornment",HR policies
job satisfaction & recognition is one of the enabler which i personally find is the reason for happiness,Rewards & Recognition
Good salaries of all levels,Salray/bonus
"As to organisation, colleagues at different location extent their help in work. 
",Team work
"Mutual trust & respect
Innovations 
Sales growth 
New products & Higher volume requirements ",Positive organisational culture
Transparent and clear communication.,Communication
"company has to start the, celebration the festival in organization too.",Employee Engagement
EMPLOYEE FRIENDLY MANAGEMENT AND UNDERSTANDING SENIORS,Leadership style
NA,N.A.
"Friendly work culture.
Freedom in work.",Positive organisational culture
"Appreciate your employees, Be flexible,  Promote organization, Avoid negativity, Improve communication etc.",Rewards & Recognition
Respect each other,Team bonding
"Mutual Trust, Personal Touch, Encouragement, Transparency",Transparency
"Team work
Motivation from Management
Job Rotation
Frequent trainings to build on skills
",Team work
"Defined Roles
Flexible Work Hours
Giving new opportunities",Work life balance
not applicable,N.A.
as per company rouls,N.A.
not applicable,N.A.
not applicable,N.A.
not applicable ,N.A.
"10 year,20 year compaction award ..",Rewards & Recognition
"basic toilet, not available",work environment
"
Celebrating special occasion not only personnel but with in the whole SCIL family like Environmenet Day, Safety Day, Annual Functions etc",Employee Engagement
Freedom to work.,Freedom to work
Personal relationship of management with employee,Leadership style
Colleagues and  approach of Management   ,Leadership style
Transportation Vehicles & Drivers behavior with Employee,Mutual respect
not applicable ,N.A.
not applicable ,N.A.
na,N.A.
NA,N.A.
nothing ,N.A.
NA,N.A.
as,N.A.
Pass,N.A.
NA,N.A.
na,N.A.
Kk,N.A.
no comments ,N.A.
NA,N.A.
no,N.A.
na,N.A.
not applicable,N.A.
satisfaction,N.A.
.,N.A.
no,N.A.
not applicable,N.A.
b,N.A.
The enablers that create an environment of happiness in the organisation are supportive and friendly collegues and good work culture,Positive organisational culture
Kind nature of organization,Positive organisational culture
"The appreciation we receive for small achievements in our work serves as great enablers that create an environment of happiness.
",Rewards & Recognition
do best for you and organization ,Team bonding
Colleagues (only few),Team bonding
team work,Team work
work culture,work environment
Made Good Garden and every place is  neat and clean,work environment
"Friend, Good managers/Supervisors, Good communications",Communication
"open communication, mutual support",Communication
"Clean work environment, Support from the superiors, Good HR policies and practices",HR policies
"HR policies and Support, Good communication with supervisors and colleges, Good working environment ",HR policies
,N.A.
"Appreciate your employees, Incentives, appropriate resources, safety,   ",Rewards & Recognition
Relation ship with superiors and colleges,Team bonding
Team work  that creates Happiness environment,Team energy
"Happy atmosphere. 
Dedicated and hard-working team. 
R&D-Production-Sales interaction",Team work
"1. Trust -
2. Team Work
3. Mutual Respect and appreciation
e.g. Reduction of dust levels in C 18 and C 12 Area",Team work
"Enablers are comfortable working environment,and good pay masters",work environment
Lively atmosphere with all kind of facilities including physical fitness (gym) instruments,work environment
Timely Communication,Communication
Celebration of events,Employee Engagement
innovative ideas,Innovation
Unnecessary Union issues.,N.A.
No comments,N.A.
Any work done with self responsibility and face to face discussion ,Ownership
work with resposibility,Performance management
Team work among the employees to achieve the goal. ,Team work
Flexibility,Work life balanceWork 
"Engage in meaningful dialogue.
Make the effort to connect with your team members in individually and as a group , you’re establishing a position of caring that motivates individuals in all sorts of good ways.",Connecting with team one on one
No Comments,N.A.
"An enjoyable , politics free atmosphere in the work place.",Positive organisational culture
"Employees are given opportunities to understand and evaluate new developments and also the employees are asked to give feedback of the same. Instances are: 5S implementation, Safety precautions, Name selection for SAP, etc.",Positive organisational culture
TEAM WORK ACROSS ALL DEPARTMENTS TO ACHIEVE ORGANIZATIONAL GOALS.,Team work
"Team work ,transparency & positive attitude",Transparency
Our organization celebrates birthdays of every individual and also give him a birthday cake/gift for his family.  Also not sparing single occasion to celebrate. for example if we get an order for high value we celebrate it.  ,Employee Engagement
Facilities provided by the organisation and challenges,Facilities
"Management levels listen to everybody suggestion, thoughts and then finally after overlooking all discussion, decide final decision.",Leadership style
"1. Management stands by  you during your personal emergencies, feeling of oneness/family.
2. If you offer good ideas, they are implemented, Transparency, less politics
3. Good office timings, main objective is to complete work, not sit idle. ",Leadership style
"1. Freedom for work
2. Human kindnesss from our managing   directors / CEO",Freedom to work
faith in us.,Trust in people
"create trust, PRACTICE ethics",Ethical practices
"Good  working facilities, good Team and good management.",Facilities
"Trust, mentoring, Openness, Walk the talk, Empathetic.",Leadership style
Same as above.,N.A.
Skill based designation can contribute to enhance happiness in organization.,Performance management
"giving reward of your work, appreciating for your good work, celebrating various function, picnic with family etc.",Rewards & Recognition
Good collegues and the facilities provided to us for carrying research.,Team bonding
"Makes us included, valued, cared for and competent bring out our best efforts",Valued
Enabled to take decisions. Flexibility. Good work cooperation between departments results in speedy deliveries. Failure is taken as learning.,work environment
"There are people with different expertise. Combining these expertise, helps in achieving the company goals.
Serious attention to EHS related matters. 
It has happened several times that top management has expressed concerns with EHS matters. ",Leadership style
-,N.A.
none.,N.A.
"1. Empowerment and recongnition of sincere efforts 
2. Systematic approach and clarity in job responsibility / authority ",Rewards & Recognition
Get Together. Celebration. We regularly celebrate the achievements of milestones reached by get together. We regularly celebrate Safety Day and Environment Day. We celebrate Employees Birthday and company gives them a Gift too. ,Team energy
Environment of Trust and Empathy,Transparency
developing new products and generating revenue out of them-this is a regular phenomenon encouraged in the organisation. ,Development of revenue generating product
My organisation arrange to Picnic of my family that give to good environment of happiness and encourage to our son/daughter also.,Employee Welfare
"Support from HR department, Support from collegues , Good working atmosphere",HR policies
some project work is very bed in company premises.,N.A.
Good team members and work,Team work
freedom and trust,Trust in people
supports in work from people of external department and productivity with growth of organisation,Team bonding
"Celebration of B' Day , various events for employees as well for their family members etc  ",Employee Engagement
Humbleness of the people and freedam to do the work in the organization ,Freedom to work
Company free atmosphere and freedom of work ,Freedom to work
Our corporate leaders and local leaders,Leadership style
suport by top management,Leadership style
not met with,N.A.
QUITE SATISFIED AND CONTENDED,N.A.
create good work atmosphere,Positive organisational culture
Support during financial and emotional crisis.,Support during crisis
Supporting hand from juniors  ,Team energy
Teamwork,Team work
"working in teams, freedom, trust",Trust in people
Trust in people,Trust in people
"Beside above Excellent working environment, Good Team, Supportive Management , Annual Events such family picnic - Annual get-together, Celebration of various events, Celebration of various religious Pooja and quite few more.",Employee Engagement
Unity & team work,Team bonding
Team work,Team work
"Eco friendly ambience, good and understanding colleagues and openness in personal / official communications.",Communication
Encouragement and appreciation for good work done.,Rewards & Recognition
"Support from HR department and HR Policies , Support of Collegeus , Good supervision, Good communication",HR policies
Good HR department and Top Management. Care taken by company on personal difficulties,Management
"Good leadership, Good communication, Good team working",Management
"Support by superiors, Good HR policies, Good communication ",Management
"Support from HR department and Superiors, Good working atmosphere ",Management
Good Leadership and Good Collegeus,Management
To bring Good sales order or award to the company,Rewards & Recognition
team work,Team work
"Good Friends and colleges, Team working etc.",Team work
openess and trust in us makes us want to be loyal and keep performing,Transparency
DUST FREE WORKING ATMOSPHERE,work environment
good working environment ,work environment
"people gather and celebrate special occasions and birthdays etc
training and development programmes to enhance knowledge and motivation are held for employees 
helping and understanding nature among collegues.",Employee Engagement
Ethics of organization and its implementation at some extent makes it possible sometimes.,Ethical practices
"Informality- to approach the highest levels of management without a structure or heirarchy 
 ",Freedom to work
Freedom for work,Freedom to work
All our relevant department members,Team energy
,N.A.
"Timely assessment of performance of employee and, rewarding them with increment in salary, rewarding their long association with company and achievements.  ",Performance management
"1. company policies like canteen and travel facilities, accomodation.  2. monetry benifits like fring benifits.  3. allocation of work to respective person only.","Better HR Policies- Canteen, Transportation, Monetary Benefits, assigning proper job"
Supporting and encouraging together in all levels & get to gather of all with families as twice in a calendar year.  ,"Supportive Environment, Employee Engagement"
"It would be theory of equality ,,fraternity & time to time updating of all employees in all aspects."," Equality, Fraternity and Timely Update"
Give them the freedom to do the work they were hired to do in the first place,Autonomy
"Every employee should be treat on the basis of his work and contribution to company not on the basis of degree and seniority... of course last but not least, he should get proper rewards during appraisal ",employeeshould be treated on the basis of work
All employees in the organisation should respect each other. ,Creating Mutual Respect
"We should make the work culture in which every employee feels relax ,in which he is doing what he supposed to,this can be done by maintaining proper hierarchy ,proper management,proper job assignment etc.","Flexible work Environment , Maintaining Proper Hierarchy, Proper Management, proper Job assignment"
As organization has grown with time need to define growth plan of everly level of employee  in line with organization growth.,Organizational growth 
Team work and continual improvements in skills of each worker makes a organization happy .,Collaboration and teammwork
By enhancing good work culture, Enhancing good work culture
Regular feedback from the company employees about their working,Open to Feedback
Good culture,Good Culture
Good culture,Good Culture
Although company is organizing various engagement programs festival celebration can bring more happiness in organization . ,Employee Engagement- festival celebration
Review all hr polices ,Reviewing HR Polices
To explore the idea about the family fun.,Employee Engagement-family fun
Continue to practice the same being done at present., NA
"I thinks we introduce a program in which we gather our all employees(onroll ,casual) far from our work place and try to find our what exactly they want form company, and introduces another program in which our mdmakes  visit to employees homes in the absences of employee and than try to find out what family members wants to company.", Employee Engagement and Welfare
"Appreciation from seniors to juniors.  various trainings from outer experts in respective fields.  presence of less ego in seniors.  providing same facilities of travelling to senior management and middle management.  sharing vision of next 10 years of senior management with middle management and then with lower management. so that all can move in unidirection.  delegation of authority, provides responsibility on every individual, which helps him to put his best efforts on assigned authorities.","Appreciation from seniors, providing equal oppurtunities and facilities, Autonomy"
"Teamwork, rm support and support from service dept. ",Teamwork and Support
"Work assignment as per individual skills and work rotation during a fixed period (must be less than three years , change of work area in five years).","working in shift, Individual assigned work "
"1. think about the people actually working on the floor in all the conditions including casuals. think about their well being , to give them some facilities which make them feel happy.  2. lets people at all level have feeling that organization care them.  3. lets do something to remove excuse attitude from the organization. they should rather focus on the improvements.  4. give holiday on festivals to operators level people , they should also enjoy festivals with their families. it will make them happy."," Ensuring Improvement, more welfare,Employee Engagement"
Improving plant and working condition more hygienic.,Hygiene - Improving Plant and working condition
Na ,NA
Transportation facility : it can we much helpful as we need to travel on highway to reach company ( will feel good to us as well as my family),Transportation facility
We are already close knit family every body is available for every one we all should behave in the same manner in future, Strong Organizational Bond
"Trust people, be more flexible in policy implementation and review old practices which are still being followed.",Flexible work environment
Suggestions to make the entire organisation a happy place is to upgrade the skills of the supervisory & shop floor personnel and also see them grow in their career. ," Positive Organizational Culture, Upgrading Supervisoning skills and overall growth"
"Promotions/ growths to be given to all in all categories, today we are missing this happiness", Timely Promotions
Understanding of jobs and pressures for the persons.  helping in particular roles as performance of person/ team is subjective to various other teams  once organizing get to gather of  more than one day in order to understand and learn various traits of a person.this also give exposure to the persons by surrounding environment and parallel examples of managing situations facilitating behavior learning opportunity.," Understanding job and pressure, evaluating performance"
In my organization bus facilities can give happiness ,Transportation facility
Work rotation, working in shift
Free to complete their assignment and take compensatory off if managerial person work (excluding assigned duty of 8.5 hrs)) more than 4 hrs two to four days in a week. this compensatory off must not be more than 1 day in a week or max two days in a month. also if person want the snacks during extra hrs then snacks should be as per choice.,Autonomy and canteen facility
Equal work-hours for all employees in the company  a vent for complaint redressal and seriousness in resolving employee issues.  increased growth opportunity by rotating jobs at periodic intervals  openness in attitude. criticism can not be considered as offending everytime. it may offer further scope for improvement/organizational development  trainings to be imparted at each level for better work understanding and efficacy.,"Equality, Working in shifts, Resolving Issues, Open Culture, Overall Organizational Growth"
Recognition of each employee for their performance., Recognition
Transportation facility up to the work place., Transportation Facility
Canteen facility for casuals workers.  more attention on training & events..," Employee Welfare - Canteen facility,More training and events"
Maintaining hierarchy system and allowing to exercise the power of each individuals for the benefit of the organisation without much interference from higher ups  would make life simple and interesting and on the whole make the entire organisation a happy place in all aspects.,"Maintaining hierarchy system, autonomy,Positive Organizational Culture"
"According to me, for the creation of happy environment in organization, the senior personalities should step down and work alongside the juniors in order to bridge a gap of hesitation in communicatoin.",Support from Top Management
Na,NA
We are already a happy work place .. ,NA
"To minimizing the time for clearance of proposal / application both in personal (policies) and professional issues (ceps, technical clearances.). even delayed procurement puts pressure on time targets and at times causes loss of enthusiasm.",Better HR Policies 
Good team work, Team work
Sports & employee health front we need to work .right now we are just playing cricket once in a year & annual health checkup provision is there.,Employee Wellness Concern 
"We should make a carrier path of each employee, train them/coach them and promote them."," Individual Learning, training and Promotional approch"
We do our work honestly & give 100 % of participation in our organisation so our organisation grow fast then we have always happy.in previous year one diamond manfacturing base company grow fast then all employe are going to one destination for a holiday.,Organizational growth 
No suggestions,NA
"Introduction of yoga, games and lifestyle related activities will bring happiness to employee.","Employee Engaement -yoga, sports"
"To create better working environment between workers, junior staff and senior staff.", Create more Positive Organizational Culture
Creating good human relations by organised game & arrange library to enhance the interest by product & others literature.,"Employee Engaement -Games, Literature"
Organization try to fulfill all requirement of employee and employee also ensure that loyalty work for organization., Organizational Support
By creating a career pathway and providing more trainings on the new concepts., Training and Development
Understanding the market trend related to compensations and see / analyze how the talent can be retained.,Retaining talent 
To make employees more creative & reasonable thinker.  create leadership feature,"making employees more creative, leadership"
"Hr has to 'walk the talk' when recruiting new employees.  treat employees with dignity-praise in public & criticise behind closed doors.  empower the regional heads for incurring expenses required in their office, so long as it is within budget.  promotions should not be merely cosmetic change. they have to confer better perks & powers.  perks have to be the same at same levels, salaries may differ based on performance.","Equality,Promotions, performance based salaries,better HR Policies "
By providing facility as per surronding industries may be introduce to retain the employees and minimise attrition of the plant. indirectly makes them happy place in all aspects.,to minimize the attrition 
"More cross functional activities, team building exercises can make people more gel with each other and can increase happiness.",Cross functional and team building activities
Improvement regular,Regular Improvement
"Six day working is can be changed to five day working with condition that employee will ensure smooth working of department in his absence. in six day working, one can not do any entertainment activity.",Leave Management 
Celebrate birthday party for all employee,Employee Engagement
By motivating the empolyee for good job done & to inspire him to do good jobs,motivation and Inspiration
"Think positively aspects in increment time . salary wages in all hierarchy levels as per frequently raise the income rate from government. if we are getting handsome perks norm at every level , then chances of resignation may low & every level person will work with potential as well as happiness .overall every person are working for money ,whichever we can live with family together along with happiness.","Positive Outlook, Structured Salary, Employee Engagement"
Yes,NA
"Happiness comes from job-satisfaction, reasonable remuneration matching industry standards and of course should be more than current inflation levels.  ",Job satisfaction and reasonable salary
Job satisfaction and reasonable salary,Job satisfaction and reasonable salary
More commitment to society and environment. looking at the products more carefully from ehs angle.,commitment to society and Environment
Fulfill as per company nomes to employee satisfaction , Employee Satisfaction
"Please provide salary as per designation ,qualification and experience .",Providing salary as per Ability
Retirement benefits if an employee  retains in co for a longer period," Employee Benefits, Retirment Provision"
Flexible working hours will be good source of happiness for those people who are coming in g-shift.,Flexible working hours
"In our organization, top management and seniors have made kind of upper and lower class in the organization. all employees are not getting saturday off but few employees are getting this. every terms and condition in the organization must be for all or for none. management also give more attention to maintain equality in the organization.","To maintain equality in Organization, Better Leave policy for all employees "
"Once get together has to be arrange with whole ORG X team with family, in a year or two years.", Employee Engagement
Specific job responsibility and accountability of each person. no unnecessary interference of other persons.,Responsibility and Accountability
Cab facility,Employee Welfare
Transport facility,Employee Welfare
There are 3 basic improvements required.  1. canteen must be hygienic and food quality needs to be improved.  2.transportation facilities to be added for employees.  3. shop-floor environment to be improve in terms of temperature control and smoke free.   ,Employee Welfare
Carrier planing ,Career Growth
Providing a good working environment and addressing the genuine concerns of employees in a time bound manner.,Employee Welfare
By providing best facility to employee,Employee Welfare
"Dear sir  to provide healthy & clean work place to a operator and employee, to provide transport facility..",Employee Welfare
Transportation facilities must be added along with good hygenic food.  also a trip for a week or less for releasing work pressure and to improve better interpersonal relation with collegues.,Employee Welfare
Employee training programmes,Learning and Development
Convyece,Employee Welfare
Start the convenience facility,Employee Welfare
"Get to gather celebration among employee is very less, need to increase it to once a year",Employee Engagement
People development through trainings,Learning and Development
Transport facility to the employee.,Employee Welfare
Transportation,Employee Welfare
Yes,NA
We are satisfied a lot,NA
When problems are discussed in open and when no body have the concern then every body will be happy.,Transparency
Because of all employee has an one vision & they are working together to achieve the same with happiness.,Collaboration
Because of all employee has an one vision & they are working together to achieve with happiness,Collaboration
Transport facility for staff,Employee Welfare
To adhere our core values,Organizational Values
To live with core value,Organizational Values
Participation in festival celebration by each and every Org X family member,Employee Engagement
Department out station parties,Employee Engagement
To adhere our core values,Organizational Values
To adhere on our core values,Organizational Values
"Get together party of staff,",Employee Engagement
Transportation facility for staff should be implemented.  ,Employee Welfare
To adhere our core values,Organizational Values
To adhere our core values,Organizational Values
Nothing more is required! thanks!! :) ,NA
"Team work, & training.",Learning and Development
Spread health & happiness in the world !,Employee Welfare
To live with our core values. ,Organizational Values
To live with our core values,Organizational Values
The initiative which are in place are sufficient to make the organization a happy place,NA
1) health of every employee.  2) skill & technology up-gradation to achieve our vision.,Employee Welfare
Technical skill enhancement of peoples with carrier growth plan. ,Learning and Development
Culture exchange with foreign employees of Org X india by temporary posting to other countries for short duration to have a flair of policies & culture prevalent in other countries ,
360 degree feedback,360 degree feedback
"A) cohesiveness within front end & support functions.  b) change of functions e.g. responsibility rotation  c) in this high intensity industry, frequent recognition of employee can be rejuvenating.","Communication with employees, Job Rotation, Recognition"
"-""do manage & develop staffs"" skills for future growth, which will directly benefited to the productivity of the business and to make a happier & healthier employee.     - employee engagement  - incentives & appreciations should be directly proportional to individual efforts & contributions.   ","Training, Employee Engagement"
Good work culture ,Positve Organizational Culture
Good interpersonal relationship, 
"Family meets , success celebrations and festival get together will create a good bond with the employees and that will make happiness and well balance work-life. ","Inclusion of family, Employee Engagement- Celebration of Festivals, Work Life Balance"
"Appreciation of work, both by compensation & open acknowledgement is very motivating and inspiring. further it helps to build trust & confidence in one's organisation and your individual capabilities. a strong team forms the back bone which should be formed on transparency. honesty, equality & no favorism principles","Honesty, Rewards & Recognition, Motivation"
"Other than activity mentioned in above answers, need to have monthly or once in two month celebrations to make org more vibrant.", 
"Creative, motivation,  culture", 
Arrangin some fun games/ competitions to minimize the stress., 
Transperency in communication and commiitment, 
Na, 
Rewards,Rewards and Recognition
Regular team outings,Employee Engagement
Meeting all at one place at recreation trips., 
"Education to children, recreation trips, zims, yoga centres, hospitals, bonus to festival which can be utilized for all the employees at a subcidized prices","Yoga & Welness, Employee Engagement"
Emi facility while purchasing the products of higher value at very discounted prices.,N/A
Encourage people to perform. show them road map of their carrier path.  award them suitably (not necessarily with money)     ,"Encouragement, Rewards & Recognition"
Appreciation for achievement ,Recognition
Need to support & share each others success as well as failures in certain office forums.,Supporting colleagues
"Revising of salary structure, promotion and ensure job security till to one's retirement.",Rewards and Recognition
"1. mentoring of new recruits and junior candidates by the seniors.  2.vibranz activity conducted more frequently and more importance attached to it.  3.360 degree feedback,","Induction, 360 degree Feedback"
"There should be a mechanism to determine performance enablers and support required by employees to deliver beyond expectation.      this mechanism should also understand what are the road blocks (including hierarchical, managers) in delivering best by a employee. ", 
"Perception of people should be changed, why do seniors think that the juniors should not be takling to them? or msg them or mail them direcly.. when its work related?  ", 
"Indoor games place,gym and regular physical check up to be done alongwith feedback session", 
Appreciate good works in any format .  , 
Must start our morning with music or meditation sports activities and trainings.  , 
Over and above of all the activities communication between ho and branch can be created more informal and friendly., 
"1. proper transport facilities,  2. more improvement classes ", 
We should start yoga activity,Yoga & Welness
Follow rules & guideline as per company direction, 
Na, 
Org X india is already a very good place to work. i can't think of any particular suggestion. , 
Slang should be avoided in office premises. office becomes very noisy during month ends. basic facilities like landlines and tea/coffee is still not available even after more than 2 months of shifting., 
No suggestions,N/A
, 
"Good work life balance of the employees, salary and other benefits are best in the industry", 
No suggesation,N/A
 none,N/A
Hobby classes., 
"Better communication, co-ordination & interaction.", 
., 
 - sports activities can be started.   - technical trainings for a better learning., 
"Need to have more activities like dancing , music in office ", 
None, 
If we can provide transportation to all employees ..it will create a better effect on well being of employees. ,"Employee Wellbeing, Transportation facility"
, 
/, 
True value to the achievements , 
Employee to be taken more asset with in organisaton and regular interacion between each and every employee with managment ( other than reporting manager ) , 
Imvprove/ enchance trust with each other, 
Nil,N/A
Growth map for each employee is required, 
., 
Create balance among all divisions w.r.t. all policies. hr should be sensitive in their response or communication towards employees concern & problems / difficulties. , 
, 
Hr should ensure that 7 principles of the organization is followed and lived. reporting managers should be rated by hr/subordinates on their bosses - based on the 7 principles, 
Na,N/A
Annua meet ,Employee Engagement
No-comments, 
Employee recreation proagmmes must be organized...,"Offsite, Employee Engagement"
The physical and mental well being of the employees contribute to the overall success of an organization.  work life balance is compulsory for overall well being.,"Work Life Balance, Physical & Mental Well-being"
Work from home,Work from home
Clear communications and promotiong the skills of employess. also recreational outdoor activities with co-workers once a year, 
Unified towards a common goal,Vision & Mission
., 
Both inter and intra department activities together to strengthen the bond  holiday within teams atleast once a year in order to relax,"Offsite, Employee Engagement-Recreational Activites, Team Bonding"
Factory visit as i have compleated 3.5 years with Org X but not yet visited with my supporting function., 
"Work better with others, more creative, fix problems instead of complaining about them and motivating employees. ", 
Senior mangement ( not the top management ) must lead by example and drive the business to new heights.,Senior Management as Role Model
There should be getogether / sports activity,"Offsite, Employee Engagement- Sports"
What all is going is good but still we can add few things like on seat yoga/zumba 2 or 3 times a week where every one stand in their work place and traning will guide everyone with load music on the floor. ,Yoga & Wellness
To check on regular intervals about personal  and professional growth of employees and taking initiatives so that we can compete with mnc in our region, 
Nothing for now.,N/A
No idea ,N/A
More interactions & bonding should be developed so as employee  engagement goes high. this will lead to happy employees.,"Teamwork & Collaboration, good environment"
More informal get togethers for staff  Work life balance - Saturday off  Exercise or yoga opportunities at work,5 Days working
Vigilance,NA
By lifting up the TALIBANI style rules and regulations and destroying the differences between the persons working at differnet levels.,Openness and Freedom at work
"open meeting, connect each other program, recreational activity, picnic , family get together, practicing 5 days working",5 Days working
"Acknowledging employees, motivation and a little appreciation never fails to do so.",Frequent Appreciation
Work from Home,Flexible Policies - Work from home
"Appreciate the ground -level healthcare workers more  Reduce ""red tape""ism in work place  Increase trust in capabilities and competencies of people",Trust and Openness
No comments,NA
Apprecation of work  Festival Bonus  Incentive based work,More Incentives
"Subsidized low cost healthy food eg. fruits, milk, dry fruits, yoghurt, soups, salads to be made available in all canteen staff / attendent / cafeteria with a vision to replace consumption of junk food within organisation to promote better health for all.Open gym to be placed in one of the outside gardens for use of employees / attendents / patients.",Subdized Healthy Food for Employees
"respect for each other, no differentiation between staffs.",Mutual Respect
More staff recognition,rewards  and recognition
"Before making any policy or decision, appropriate infrastructure and manpower should be provided.    ",Better Infrastructure
there should be a recreational room for all the employees and it should be made must.,Employee Engagement - Recreation Facilities
coffee room for the doctors to hang out when free   Place away from the office to sit and close one's eyes for 10 min for the consultants and senior consultants; books to read when free ; variable times to enter and exit the hospital without compromising on the work ; freedom to offer free treatment to the ones we think deserve some help ,Employee Engagement - Recreation Facilities
To give respect and be soft with all the employees at work. No partiality should be there at work. Treat all staff should be equal. We should get saturdays off so that we get time for our family and for ouself. We should get emails to apply their leaves on time. We must rewarded for our good done. ,Equality
"-Promote transparency at every level  - Promote equality among team members rather than glaring differences in salaries and status among team members  -Appreciate the fact that it's the ""DOCTORS"" which make or break this Medical Institute--take care of them",Transparency
Frequent outings with staffs,Employee Engagement - Outings & Team Building
"appreciation, training",Frequent Appreciation
"Appreciation, Motivation,Training and Encouragement.",Frequent Appreciation
More Appreciation,Frequent Appreciation
More frequent Appreciation  and acknowldgement ,Frequent Appreciation
Transparency ,Transparency
Nil,NA
"one to one in every 3 months with concerned authority/ respective HOD/HR  about what are their expectation, achivements, drawback or  if they have any issue in their job.",Ongoing 360 Feedback
Regular promotions and perks for staff  Healthy work environment with emphasis on security,Promotions
talk more openly and transparently. Consulting all stake holders before passing any decision.,Openness and Transparency
